sn,ts,gx,gy,gz,ax,ay,az,mx,my,mz,dt,mbx,mby,mbz
1,301741523033973,0.0023493879,-0.0002950430,0.0004416564,-0.1005595401,0.1939362586,9.8524408340,0.7799987793,36.7799987793,-37.0800170898,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
2,301741543029039,0.0066254446,-0.0296165794,0.0022742515,-0.0837996155,0.2059076279,9.7973728180,0.3599987030,37.4399948120,-36.3600158691,0.0199950654,23.5799999237,-109.0199966431,443.2200012207
3,301741563024139,-0.0098679177,0.0027592778,0.0010525202,-0.7996878028,-0.0622511432,12.5316343307,0.2999992371,38.2200012207,-36.1800231934,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
4,301741583019239,-0.0055918605,-0.0088471621,0.0004416564,-1.1971373558,-0.3902668059,13.2762537003,-0.0600013733,38.9399948120,-36.4200134277,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
5,301741603014339,-0.0013158037,-0.0112906173,-0.0001692092,1.1875603199,0.6153286099,5.0016398430,0.0000000000,37.9799957275,-37.0200195313,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
6,301741623009439,0.0023493879,-0.0094580203,-0.0020018052,1.2569942474,0.7470137477,5.6576714516,0.4799995422,37.2599945068,-37.5000000000,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
7,301741643004572,0.0041819834,-0.0057928339,-0.0013909396,0.0239427481,0.2944957912,11.3081598282,0.5399990082,37.5599975586,-37.8600158691,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
8,301741662999705,0.0109015014,-0.0082362965,-0.0020018052,-0.4525179267,0.0646454170,12.9602098465,0.5399990082,37.4399948120,-37.4400024414,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
9,301741682994838,0.0115123661,-0.0082362965,-0.0001692092,-1.2402343750,-0.3926610649,12.6705026627,0.9599990845,37.5000000000,-37.8000183105,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
10,301741702989971,0.0054037138,-0.0039602369,-0.0007800749,-0.8571503758,-0.2298503816,10.8747959137,1.0799999237,37.3799972534,-38.2799987793,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
11,301741722985071,-0.0013158037,0.0045918748,0.0004416564,1.0965778828,0.6440598965,5.3512043953,1.1399993896,37.3199996948,-37.9200134277,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
12,301741742980137,0.0029602530,-0.0125123486,0.0010525202,1.2761484385,0.7565908432,5.5547175407,1.7999992371,36.9000015259,-38.4600219727,0.0199950654,23.5799999237,-109.0199966431,443.2200012207
13,301741762975237,0.0005167921,-0.0021276399,-0.0001692092,-0.2490045726,0.1915419847,11.8564491272,1.9799995422,37.1999969482,-38.5200195313,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
14,301741782970337,-0.0013158037,0.0027592778,-0.0001692092,-0.4908263385,-0.0359141231,11.6002616882,1.1999988556,37.3799972534,-38.1000061035,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
15,301741802965470,-0.0000940734,0.0021484122,-0.0001692092,-0.0670396984,0.0047885496,10.7694482803,0.6599998474,36.9000015259,-38.2799987793,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
16,301741822960603,0.0017385224,0.0003158152,0.0004416564,0.0909824446,0.2537931204,9.4071054459,0.9599990845,37.0199966431,-38.3399963379,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
17,301741842955736,0.0029602530,-0.0009059161,-0.0001692092,-0.0287312977,0.2011190802,9.8548355103,0.4799995422,36.6599960327,-38.1000061035,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
18,301741862950869,0.0005167921,-0.0009059161,0.0004416564,-0.0454912223,0.2011190802,9.8787775040,0.5399990082,36.6599960327,-38.4000244141,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
19,301741882945969,-0.0019266694,0.0009266809,-0.0001692092,-0.0167599246,0.2298503816,9.8045549393,0.6000003815,37.7399978638,-38.1600036621,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
20,301741902941069,-0.0043701301,0.0003158152,0.0004416564,-0.0526740476,0.2154847383,9.9122972488,0.2999992371,38.4599990845,-37.6199951172,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
21,301741922936169,-0.0019266694,-0.0002950430,0.0004416564,-0.0191541985,0.1987248063,9.8500461578,0.4200000763,37.7999954224,-36.6600036621,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
22,301741942931269,0.0005167921,0.0009266809,0.0004416564,-0.0407026708,0.1484450400,9.9003267288,-0.3600006104,37.5000000000,-35.8800048828,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
23,301741962926369,0.0023493879,0.0009266809,0.0004416564,-0.0502797700,0.1652049571,9.8668060303,-0.2399997711,37.6800003052,-36.8399963379,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
24,301741982921502,0.0029602530,0.0009266809,0.0010525202,-0.0239427481,0.1556278616,9.8787775040,-0.1800003052,37.7999954224,-36.6600036621,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
25,301742002916635,0.0017385224,0.0009266809,0.0010525202,-0.0335198492,0.1939362586,9.8811721802,-0.6599998474,37.8600006104,-36.2400207520,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
26,301742022911768,0.0005167921,0.0009266809,0.0004416564,-0.0407026708,0.2083019018,9.8955373764,-0.2399997711,38.2799987793,-36.7799987793,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
27,301742042906901,-0.0000940734,0.0015375540,-0.0001692092,-0.0598568693,0.2226675600,9.8859605789,-0.0600013733,38.7599945068,-36.1800231934,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
28,301742062902001,-0.0007049385,0.0009266809,0.0004416564,-0.0598568693,0.2226675600,9.8835668564,-0.4200000763,38.1599960327,-35.9400024414,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
29,301742082897101,-0.0031483993,-0.0009059161,-0.0007800749,-0.0454912223,0.1939362586,9.8859605789,-0.2399997711,38.2799987793,-36.2400207520,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
30,301742102892201,-0.0019266694,-0.0002950430,0.0010525202,-0.0646454170,0.1747820675,9.8859605789,0.0000000000,38.6999969482,-36.0599975586,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
31,301742122887301,0.0017385224,-0.0009059161,0.0010525202,-0.0407026708,0.1867534369,9.8739891052,0.0000000000,37.8600006104,-36.0000000000,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
32,301742142882467,0.0011276570,0.0003158152,0.0010525202,-0.0335198492,0.1723877788,9.8692007065,-0.0600013733,37.9799957275,-35.8800048828,0.0199951660,23.5799999237,-109.0199966431,443.2200012207
33,301742162877600,0.0005167921,0.0009266809,-0.0001692092,-0.0023942748,0.1843591630,9.8763837814,-0.2399997711,38.7599945068,-35.9400024414,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
34,301742182872733,0.0011276570,0.0027592778,-0.0001692092,-0.0071828244,0.1915419847,9.9027204514,-0.8400001526,38.1599960327,-36.4200134277,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
35,301742202867866,-0.0007049385,0.0021484122,-0.0001692092,-0.0550683215,0.2011190802,9.8715953827,-0.8400001526,38.1599960327,-36.4200134277,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
36,301742222862999,-0.0000940734,0.0009266809,-0.0001692092,-0.0550683215,0.2011190802,9.8715953827,0.5399990082,38.0999984741,-36.6600036621,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
37,301742242858099,-0.0013158037,-0.0002950430,-0.0001692092,-0.0766167939,0.2035133541,9.8739891052,0.2399997711,37.9799957275,-36.9000244141,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
38,301742262853199,-0.0007049385,-0.0027385131,-0.0001692092,-0.0359141231,0.1963305324,9.8907489777,0.2399997711,37.5599975586,-36.6600036621,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
39,301742282848299,-0.0013158037,-0.0009059161,0.0010525202,-0.0311255716,0.1723877788,9.8811721802,0.2399997711,37.5599975586,-36.6600036621,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
40,301742302843399,0.0011276570,-0.0002950430,-0.0001692092,-0.0287312977,0.1699935049,9.8883552551,-0.1200008392,37.8600006104,-36.4200134277,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
41,301742322838532,-0.0007049385,0.0015375540,-0.0001692092,-0.0407026708,0.1460507661,9.8835668564,-0.2399997711,38.1599960327,-36.4800109863,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
42,301742342833698,0.0011276570,0.0003158152,-0.0007800749,-0.0407026708,0.1460507661,9.8835668564,0.3599987030,38.3399963379,-36.9000244141,0.0199951660,23.5799999237,-109.0199966431,443.2200012207
43,301742362828831,0.0047928486,-0.0015167743,0.0010525202,-0.0478854962,0.1628106833,9.8763837814,0.1199989319,38.0999984741,-36.9000244141,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
44,301742382823964,0.0047928486,-0.0002950430,0.0010525202,-0.0670396984,0.1939362586,9.8835668564,0.1800003052,38.0999984741,-36.3600158691,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
45,301742402819064,0.0017385224,0.0003158152,0.0010525202,-0.0239427481,0.2442160249,9.9122972488,-0.1800003052,38.2799987793,-36.4200134277,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
46,301742422814164,-0.0007049385,0.0003158152,-0.0001692092,-0.0287312977,0.2513988614,9.8931436539,-0.1800003052,38.2799987793,-36.4200134277,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
47,301742442809264,-0.0062027262,0.0003158152,0.0004416564,-0.0287312977,0.2513988614,9.8931436539,0.8400001526,36.9000015259,-37.1400146484,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
48,301742462804364,-0.0055918605,0.0021484122,0.0010525202,-0.0502797700,0.2011190802,9.8787775040,0.5399990082,37.3799972534,-37.0800170898,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
49,301742482799497,-0.0031483993,-0.0015167743,0.0010525202,-0.0790110677,0.1268965602,9.8787775040,0.5399990082,37.3799972534,-37.0800170898,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
50,301742502794630,-0.0013158037,-0.0021276399,-0.0007800749,-0.0790110677,0.1268965602,9.8787775040,0.7199993134,37.4399948120,-37.5000000000,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
51,301742522789763,0.0017385224,-0.0027385131,0.0004416564,-0.0502797700,0.1268965602,9.8811721802,1.0200004578,37.0800018311,-37.7400207520,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
52,301742542784896,0.0066254446,-0.0009059161,0.0010525202,-0.0335198492,0.1292908341,9.8715953827,0.4200000763,37.0800018311,-37.2600097656,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
53,301742562780029,0.0060145790,0.0009266809,0.0004416564,-0.0167599246,0.1939362586,9.8907489777,0.1800003052,36.7799987793,-37.6199951172,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
54,301742582775129,0.0041819834,0.0027592778,0.0010525202,-0.0023942748,0.2298503816,9.9003267288,0.8400001526,36.0000000000,-38.2200012207,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
55,301742602770229,-0.0019266694,0.0027592778,-0.0007800749,-0.0335198492,0.2561874092,9.8931436539,0.5399990082,36.7799987793,-38.0400085449,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
56,301742622765329,-0.0055918605,0.0003158152,0.0010525202,-0.0526740476,0.2442160249,9.8931436539,0.6599998474,37.6199951172,-37.2000122070,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
57,301742642760429,-0.0049809958,-0.0021276399,0.0004416564,-0.0550683215,0.1580221355,9.8907489777,1.2600002289,37.4399948120,-36.3600158691,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
58,301742662755562,-0.0025375341,-0.0015167743,0.0010525202,-0.0550683215,0.1580221355,9.8907489777,1.1999988556,37.7399978638,-36.4200134277,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
59,301742682750695,-0.0007049385,-0.0021276399,0.0004416564,-0.0167599246,0.1412622184,9.8811721802,0.8400001526,38.0999984741,-36.4200134277,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
60,301742702745828,0.0011276570,-0.0002950430,-0.0001692092,-0.0119713740,0.1484450400,9.8835668564,0.0000000000,38.0400009155,-36.4200134277,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
61,301742722740961,0.0041819834,0.0021484122,0.0004416564,-0.0071828244,0.1436564922,9.8692007065,0.0599994659,38.2799987793,-36.7200012207,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
62,301742742736061,0.0041819834,0.0033701509,0.0010525202,-0.0550683215,0.1987248063,9.8811721802,0.0599994659,38.2799987793,-36.7200012207,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
63,301742762731161,0.0023493879,0.0021484122,0.0004416564,-0.0550683215,0.1987248063,9.8811721802,0.2399997711,37.9199981689,-35.7000122070,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
64,301742782726261,0.0017385224,-0.0002950430,-0.0007800749,-0.0837996155,0.2011190802,9.9003267288,0.2399997711,37.9199981689,-35.7000122070,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
65,301742802721361,-0.0007049385,-0.0033493713,-0.0001692092,-0.0837996155,0.2011190802,9.9003267288,-0.1200008392,38.1599960327,-36.7200012207,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
66,301742822716494,-0.0043701301,-0.0015167743,0.0016633859,-0.0550683215,0.2178790122,9.8955373764,0.8400001526,37.7999954224,-36.9000244141,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
67,301742842711627,-0.0043701301,0.0003158152,-0.0007800749,-0.0023942748,0.1843591630,9.8907489777,0.8400001526,37.7999954224,-36.9000244141,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
68,301742862706760,-0.0019266694,0.0021484122,0.0016633859,-0.0023942748,0.1843591630,9.8907489777,0.0000000000,38.0999984741,-36.3600158691,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
69,301742882701893,-0.0007049385,0.0027592778,0.0004416564,-0.0191541985,0.1532335877,9.8763837814,-0.0600013733,38.8199996948,-35.9400024414,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
70,301742902697026,0.0011276570,0.0021484122,-0.0001692092,-0.0622511432,0.1388679445,9.8763837814,-0.0600013733,38.8199996948,-35.9400024414,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
71,301742922692126,0.0035711182,0.0021484122,0.0010525202,-0.0622511432,0.1388679445,9.8763837814,0.4799995422,37.9799957275,-37.0200195313,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
72,301742942687226,0.0054037138,-0.0009059161,0.0004416564,-0.0766167939,0.1723877788,9.8907489777,0.1199989319,37.9799957275,-37.2600097656,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
73,301742962682326,0.0029602530,-0.0021276399,0.0004416564,-0.0359141231,0.2346389294,9.9122972488,0.2399997711,37.7399978638,-36.7799987793,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
74,301742982677426,-0.0000940734,-0.0015167743,-0.0007800749,-0.0359141231,0.2346389294,9.9122972488,0.2399997711,37.7399978638,-35.6400146484,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
75,301743002672559,-0.0025375341,-0.0009059161,-0.0001692092,-0.0239427481,0.2298503816,9.8811721802,0.5399990082,38.5800018311,-36.2400207520,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
76,301743022667692,-0.0049809958,0.0009266809,-0.0007800749,-0.0335198492,0.2178790122,9.8931436539,0.7199993134,38.0999984741,-36.6000061035,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
77,301743042662825,-0.0031483993,0.0009266809,-0.0001692092,-0.0454912223,0.1532335877,9.8883552551,0.7199993134,38.0999984741,-36.6000061035,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
78,301743062657958,0.0005167921,0.0009266809,-0.0001692092,-0.0454912223,0.1532335877,9.8883552551,-0.1800003052,37.7999954224,-36.4200134277,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
79,301743082653058,0.0023493879,0.0009266809,-0.0001692092,-0.0574625954,0.1436564922,9.8883552551,0.4200000763,37.7399978638,-35.9400024414,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
80,301743102648158,0.0041819834,0.0003158152,-0.0001692092,-0.0550683215,0.1915419847,9.8763837814,0.6599998474,37.3799972534,-36.3600158691,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
81,301743122643258,0.0047928486,-0.0009059161,0.0004416564,-0.0550683215,0.1915419847,9.8763837814,0.0599994659,37.5599975586,-36.5400085449,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
82,301743142638358,0.0005167921,-0.0027385131,-0.0001692092,-0.0478854962,0.2274561077,9.8763837814,0.1199989319,37.9799957275,-36.6600036621,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
83,301743162633491,-0.0037592654,0.0003158152,0.0004416564,-0.0287312977,0.2346389294,9.9051151276,0.4200000763,37.6800003052,-36.8399963379,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
84,301743182628624,-0.0043701301,0.0009266809,-0.0007800749,-0.0287312977,0.1963305324,9.8883552551,0.4200000763,37.6800003052,-36.8399963379,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
85,301743202623757,-0.0043701301,0.0021484122,0.0010525202,-0.0287312977,0.1963305324,9.8883552551,0.9599990845,37.3799972534,-36.3600158691,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
86,301743222618890,-0.0013158037,0.0009266809,-0.0001692092,-0.0430969447,0.1340793967,9.8811721802,0.9599990845,37.3799972534,-36.3600158691,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
87,301743242614023,0.0017385224,0.0003158152,0.0010525202,-0.0502797700,0.1245022863,9.8787775040,1.0799999237,37.9799957275,-36.5400085449,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
88,301743262609123,0.0041819834,-0.0009059161,-0.0001692092,-0.0502797700,0.1245022863,9.8787775040,-0.0600013733,37.8600006104,-36.3600158691,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
89,301743282604223,0.0054037138,-0.0009059161,0.0004416564,-0.0478854962,0.1652049571,9.8715953827,0.2399997711,37.8600006104,-36.0599975586,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
90,301743302599323,0.0047928486,-0.0002950430,0.0004416564,-0.0430969447,0.1963305324,9.8787775040,0.4799995422,37.9199981689,-36.1199951172,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
91,301743322594423,0.0011276570,-0.0002950430,0.0004416564,-0.0167599246,0.2298503816,9.8907489777,1.5599994659,37.1399993896,-37.0800170898,0.0199951008,23.5799999237,-109.0199966431,443.2200012207
92,301743342589556,-0.0031483993,0.0015375540,0.0010525202,-0.0311255716,0.2537931204,9.9003267288,2.2799987793,36.5400009155,-37.4400024414,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
93,301743362584689,-0.0043701301,0.0015375540,0.0004416564,-0.0550683215,0.1771763414,9.8907489777,2.2799987793,36.5400009155,-37.4400024414,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
94,301743382579822,-0.0037592654,0.0003158152,-0.0001692092,-0.0550683215,0.1771763414,9.8907489777,1.6800003052,36.2399978638,-37.9800109863,0.0199951325,23.5799999237,-109.0199966431,443.2200012207
